Name,Current price,Change(%),Open,High,Low,Volume
FSD PHARMA,0.2,120.75,0.1891,0.3628,0.1536,1152809359
NVIDIA CORP.,104.75,10.21,105.64,106.6,103.43,290844157
HYZON MOTORS INC.,0.0978,14.25,0.088,0.164,0.0863,106016452
INTEL CORP.,19.71,13.81,20.08,20.15,19.5,76394546
WEBUY GLOBAL,0.1313,2.66,0.198,0.2105,0.1313,63567116
VERB TECHNOLOGY CO.,0.075,5.19,0.072,0.103,0.0715,61119217
MGO GLOBAL INC.,6.12,65.41,5.6,6.97,4.63,60422508
TESLA INC.,200.0,0.58,197.05,200.88,195.11,58648274
CONDUIT PHARMACEUTICALS INC.,0.19,11.76,0.2093,0.2118,0.174,57176588
MARIN SOFTWARE INC.,2.53,39.78,2.12,2.69,2.08,47091494
APPLE INC.,216.24,1.37,212.1,216.78,211.97,42201646
WARNER BROS. DISCOVERY,7.03,0.14,7.04,7.12,6.91,40966338
ADVANCED MICRO DEVICES INC.,134.27,11.5,134.69,135.5,132.44,40582992
SUNPOWER CORP.,0.21,5.0,0.208,0.2737,0.2,38712353
SOUNDHOUND AI INC.,4.87,16.53,5.1,5.31,4.83,38585902
EXPION360 INC.,0.0886,19.59,0.1,0.1,0.0801,37655462
PLUG POWER INC.,1.97,15.29,2.06,2.07,1.95,37094800
AMAZON.COM INC.,166.94,0.69,166.4,168.55,165.85,36401049
FARADAY FUTURE INTELLIGENT ELECTRIC,0.2227,15.19,0.2377,0.238,0.215,35860840
BEYOND MEAT INC.,6.39,12.14,6.5,9.24,6.2,31845960
FUELCELL ENERGY INC.,0.4482,13.78,0.475,0.475,0.448,30959085
ALPHABET INC. CLASS A,163.67,1.01,160.01,163.79,159.06,28602285
LUMINAR TECHNOLOGIES INC.,0.902,13.15,0.9591,1.09,0.8888,27810424
ARRAY TECHNOLOGIES INC.,7.1,121.02,7.94,8.0,6.76,26501138
LUCID GROUP INC.,3.19,1.27,3.08,3.2,3.01,26426957
RIVIAN AUTOMOTIVE INC.,13.95,15.23,14.64,14.65,13.83,24823900
